Random Agents
World: ;GF 2016 Circle Public
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;1;1;3;160;160;100
2;1;0;4;130;130;0
3;1;0;5;55;55;0
4;1;0;2;60;60;0
5;1;1;3;65;65;100
Aiad
World: ;GF 2016 Circle Public
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;1;1;3;160;160;100
2;1;1;4;130;130;100
3;1;0;5;60;55;0
4;1;0;2;60;60;0
5;1;0;3;70;65;0
Aiad
World: ;GF 2016 Circle Public
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;1;2;3;160;160;200
2;1;0;4;130;130;0
3;1;0;5;60;55;0
4;1;0;2;60;60;0
5;1;0;3;70;65;0
Aiad
World: ;Easy
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;1;1;1;724;∞;300
2;1;1;1;82;∞;300
Aiad
World: ;Easy
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;1;1;1;1536;∞;300
2;1;1;1;189;∞;300
Aiad
World: ;GF 2016 Circle Public
level;runs;collectibles average;collectibles available;time average;time limit;score average
2;1;1;4;130;130;100
Aiad
World: ;GF 2016 Circle Public
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;1;1;3;162;160;100
Aiad
World: ;GF 2016 Circle Public
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;1;1;3;160;160;100
Aiad
World: ;GF 2016 Circle Public
level;runs;collectibles average;collectibles available;time average;time limit;score average
2;1;1;4;130;130;100
