Timestamp;Agent Implementation;World Name ;Level Number;Collectibles Collected;Collectibles to Catch;Passed Level?;Elapsed Game Time (s);Time Limit (s);Elapsed Real Time (s);Score;Endgame Message
2016-10-09_16:28:30;SubGoalAStarAgents;GF 2016 Circle Public;1;0;3;0;160,200007609092;160;6,226;0;
2016-10-09_16:28:35;SubGoalAStarAgents;GF 2016 Circle Public;2;0;4;0;130,200006184168;130;4,479;0;
2016-10-09_16:28:37;SubGoalAStarAgents;GF 2016 Circle Public;3;0;5;0;55,2000026218593;55;1,956;0;
2016-10-09_16:28:40;SubGoalAStarAgents;GF 2016 Circle Public;4;0;2;0;60,0000028498471;60;3,674;0;
2016-10-09_16:28:43;SubGoalAStarAgents;GF 2016 Circle Public;5;0;3;0;65,1000030920841;65;2,266;0;
2016-10-09_16:29:42;SubGoalAStarAgents;GF 2016 Circle Public;1;0;3;0;160,200007609092;160;5,962;0;
2016-10-09_16:29:48;SubGoalAStarAgents;GF 2016 Circle Public;1;0;3;0;160,200007609092;160;5,714;0;
2016-10-09_16:29:53;SubGoalAStarAgents;GF 2016 Circle Public;1;0;3;0;160,200007609092;160;5,775;0;
2016-10-09_16:29:59;SubGoalAStarAgents;GF 2016 Circle Public;1;0;3;0;160,200007609092;160;5,747;0;
2016-10-09_16:30:05;SubGoalAStarAgents;GF 2016 Circle Public;1;0;3;0;160,200007609092;160;5,673;0;
2016-10-09_16:30:11;SubGoalAStarAgents;GF 2016 Circle Public;1;0;3;0;160,200007609092;160;5,773;0;
2016-10-09_16:30:16;SubGoalAStarAgents;GF 2016 Circle Public;1;0;3;0;160,200007609092;160;5,851;0;
2016-10-09_16:30:22;SubGoalAStarAgents;GF 2016 Circle Public;1;0;3;0;160,200007609092;160;5,778;0;
2016-10-09_16:30:28;SubGoalAStarAgents;GF 2016 Circle Public;1;0;3;0;160,200007609092;160;5,837;0;
2016-10-09_16:30:34;SubGoalAStarAgents;GF 2016 Circle Public;1;0;3;0;160,200007609092;160;5,838;0;
2016-10-09_16:31:21;RapidlyExploringRandomTreeAgents;GF 2016 Circle Public;1;1;3;0;160,200007609092;160;5,381;100;
2016-10-09_16:31:25;RapidlyExploringRandomTreeAgents;GF 2016 Circle Public;2;1;4;0;130,200006184168;130;4,369;100;
2016-10-09_16:31:27;RapidlyExploringRandomTreeAgents;GF 2016 Circle Public;3;0;5;0;55,2000026218593;55;1,864;0;
2016-10-09_16:31:29;RapidlyExploringRandomTreeAgents;GF 2016 Circle Public;4;0;2;0;60,0000028498471;60;2,029;0;
2016-10-09_16:31:31;RapidlyExploringRandomTreeAgents;GF 2016 Circle Public;5;1;3;0;65,1000030920841;65;2,202;100;
2016-10-09_16:31:46;ReinforcementLearningAgents;GF 2016 Circle Public;1;1;3;0;160,200007609092;160;5,372;100;
2016-10-09_16:31:50;ReinforcementLearningAgents;GF 2016 Circle Public;2;1;4;0;130,200006184168;130;4,788;100;
2016-10-09_16:31:52;ReinforcementLearningAgents;GF 2016 Circle Public;3;0;5;0;55,2000026218593;55;1,865;0;
2016-10-09_16:31:54;ReinforcementLearningAgents;GF 2016 Circle Public;4;0;2;0;60,0000028498471;60;2,05;0;
2016-10-10_00:37:31;Aiad;GF 2016 Circle Public;1;1;3;0;160,020007600542;160;39,318;100;
2016-10-10_00:37:32;Aiad;GF 2016 Circle Public;1;1;3;0;160,000007599592;160;3,8;100;
2016-10-10_00:37:33;Aiad;GF 2016 Circle Public;2;1;4;0;130,000006174669;130;1,687;100;
2016-10-10_00:37:34;Aiad;GF 2016 Circle Public;3;0;5;0;55,0000026123598;55;0,72;0;
2016-10-10_00:37:35;Aiad;GF 2016 Circle Public;4;0;2;0;60,0000028498471;60;0,744;0;
2016-10-10_00:37:36;Aiad;GF 2016 Circle Public;5;0;3;0;65,0000030873343;65;0,943;0;
2016-10-10_00:40:18;RandomAgents;GF 2016 Circle Public;1;1;3;0;160,000007599592;160;3,162;100;
2016-10-10_00:40:19;RandomAgents;GF 2016 Circle Public;2;0;4;0;130,000006174669;130;1,598;0;
2016-10-10_00:40:20;RandomAgents;GF 2016 Circle Public;3;0;5;0;55,0000026123598;55;0,728;0;
2016-10-10_00:40:21;RandomAgents;GF 2016 Circle Public;4;0;2;0;60,0000028498471;60;0,776;0;
2016-10-10_00:40:22;RandomAgents;GF 2016 Circle Public;5;1;3;0;65,0000030873343;65;0,866;100;
2016-10-10_00:43:06;Aiad;GF 2016 Circle Public;1;1;3;0;160,000007599592;160;4,721;100;
2016-10-10_00:43:08;Aiad;GF 2016 Circle Public;2;1;4;0;130,000006174669;130;1,601;100;
2016-10-10_00:43:09;Aiad;GF 2016 Circle Public;3;0;5;0;60,0000028498471;55;1,383;0;
2016-10-10_00:43:11;Aiad;GF 2016 Circle Public;4;0;2;0;60,0000028498471;60;1,332;0;
2016-10-10_00:43:12;Aiad;GF 2016 Circle Public;5;0;3;0;70,0000033248216;65;1,096;0;
2016-10-10_01:10:25;Aiad;GF 2016 Circle Public;1;1;3;0;160,000007599592;160;4,051;100;
2016-10-10_01:10:29;Aiad;GF 2016 Circle Public;2;0;4;0;130,000006174669;130;3,323;0;
2016-10-10_01:10:30;Aiad;GF 2016 Circle Public;3;0;5;0;60,0000028498471;55;0,898;0;
2016-10-10_01:10:31;Aiad;GF 2016 Circle Public;4;0;2;0;60,0000028498471;60;1,314;0;
2016-10-10_01:11:03;Aiad;GF 2016 Circle Public;1;2;3;0;160,000007599592;160;3,741;200;
2016-10-10_01:11:05;Aiad;GF 2016 Circle Public;2;0;4;0;130,000006174669;130;1,665;0;
2016-10-10_01:11:06;Aiad;GF 2016 Circle Public;3;0;5;0;60,0000028498471;55;1,231;0;
2016-10-10_01:11:09;Aiad;GF 2016 Circle Public;4;0;2;0;60,0000028498471;60;2,399;0;
2016-10-10_01:11:10;Aiad;GF 2016 Circle Public;5;0;3;0;70,0000033248216;65;1,043;0;
2016-10-10_01:15:51;Aiad;Easy;1;1;1;1;724,000034388155;∞;8,547;300;
2016-10-10_01:15:52;Aiad;Easy;2;1;1;1;82,000003894791;∞;0,836;300;
2016-10-10_01:17:33;Aiad;Easy;1;1;1;1;1536,00007295609;∞;17,384;300;
2016-10-10_01:17:35;Aiad;Easy;2;1;1;1;189,000008977018;∞;1,903;300;
2016-10-10_01:18:44;Aiad;GF 2016 Circle Public;2;1;4;0;130,000006174669;130;1,561;100;
2016-10-10_16:14:26;Aiad;GF 2016 Circle Public;1;1;3;0;160,000007599592;160;3,888;100;
2016-10-10_16:14:29;Aiad;GF 2016 Circle Public;2;0;4;0;132,000006269664;130;2,873;0;
2016-10-10_16:14:30;Aiad;GF 2016 Circle Public;3;0;5;0;56,0000026598573;55;1,176;0;
2016-10-10_16:14:31;Aiad;GF 2016 Circle Public;4;0;2;0;60,0000028498471;60;1,316;0;
2016-10-10_16:16:02;Aiad;GF 2016 Circle Public;1;1;3;0;162,000007694587;160;4,202;100;
2016-10-10_16:19:37;Aiad;GF 2016 Circle Public;1;1;3;0;160,000007599592;160;3,808;100;
2016-10-11_16:58:53;Aiad;GF 2016 Circle Public;1;1;3;0;160,000007599592;160;3,791;100;
2016-10-11_17:02:08;Aiad;GF 2016 Circle Public;1;1;3;0;160,000007599592;160;4,169;100;
2016-10-11_17:05:08;Aiad;GF 2016 Circle Public;1;1;3;0;160,000007599592;160;4,875;100;
2016-10-11_17:08:06;Aiad;Easy;2;1;1;1;80,0000037997961;∞;3,615;300;
2016-10-11_17:15:02;Aiad;Easy;1;1;1;1;640,000030398369;∞;9,311;300;
2016-10-11_17:18:35;Aiad;GF 2016 Circle Public;1;1;3;0;160,320007614791;160;4,344;100;
2016-10-11_17:30:36;AgentsWithPrediction;GF 2016 Circle Public;1;1;3;0;131,000006222166;130;2,735;100;
2016-10-11_17:30:37;AgentsWithPrediction;GF 2016 Circle Public;2;0;4;0;94,0000044647604;55;1,251;0;
2016-10-11_17:30:38;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,0000026123598;55;0,776;0;
2016-10-11_17:30:38;AgentsWithPrediction;GF 2016 Circle Public;4;0;2;0;60,0000028498471;60;0,857;0;
2016-10-11_17:30:40;AgentsWithPrediction;GF 2016 Circle Public;5;1;3;0;65,0000030873343;65;1,234;100;
2016-10-11_17:30:47;AgentsWithPrediction;GF 2016 Circle Public;1;1;3;0;160,000007599592;160;3,256;100;
2016-10-11_17:30:48;AgentsWithPrediction;GF 2016 Circle Public;2;1;4;0;130,000006174669;130;1,737;100;
2016-10-11_17:30:49;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,0000026123598;55;0,852;0;
2016-10-11_17:30:50;AgentsWithPrediction;GF 2016 Circle Public;4;0;2;0;60,0000028498471;60;0,851;0;
2016-10-11_17:30:51;AgentsWithPrediction;GF 2016 Circle Public;5;0;3;0;65,0000030873343;65;1,002;0;
2016-10-11_17:30:55;GeometryFriendsAgents;GF 2016 Circle Public;1;1;3;0;160,000007599592;160;3,397;100;
2016-10-11_17:30:57;GeometryFriendsAgents;GF 2016 Circle Public;2;1;4;0;130,000006174669;130;1,915;100;
2016-10-11_17:30:58;GeometryFriendsAgents;GF 2016 Circle Public;3;0;5;0;55,0000026123598;55;0,853;0;
2016-10-11_17:30:58;GeometryFriendsAgents;GF 2016 Circle Public;4;0;2;0;60,0000028498471;60;0,925;0;
2016-10-11_17:31:00;GeometryFriendsAgents;GF 2016 Circle Public;5;1;3;0;65,0000030873343;65;1,645;100;
2016-10-11_17:31:03;RapidlyExploringRandomTreeAgents;GF 2016 Circle Public;1;1;3;0;160,000007599592;160;3,188;100;
2016-10-11_17:31:05;RapidlyExploringRandomTreeAgents;GF 2016 Circle Public;2;1;4;0;130,000006174669;130;1,831;100;
2016-10-11_17:31:06;RapidlyExploringRandomTreeAgents;GF 2016 Circle Public;3;0;5;0;55,0000026123598;55;0,909;0;
2016-10-11_17:31:07;RapidlyExploringRandomTreeAgents;GF 2016 Circle Public;4;0;2;0;60,0000028498471;60;0,867;0;
2016-10-11_17:31:08;RapidlyExploringRandomTreeAgents;GF 2016 Circle Public;5;1;3;0;65,0000030873343;65;1,136;100;
2016-10-11_17:31:12;ReinforcementLearningAgents;GF 2016 Circle Public;1;1;3;0;160,000007599592;160;3,954;100;
2016-10-11_17:31:26;AgentsWithPrediction;GF 2016 Circle Public;1;1;3;0;160,200007609092;160;5,369;100;
2016-10-11_17:31:30;AgentsWithPrediction;GF 2016 Circle Public;2;1;4;0;130,200006184168;130;4,353;100;
2016-10-11_17:31:32;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,2000026218593;55;1,862;0;
2016-10-11_17:31:34;AgentsWithPrediction;GF 2016 Circle Public;4;0;2;0;60,0000028498471;60;2,028;0;
2016-10-11_17:31:36;AgentsWithPrediction;GF 2016 Circle Public;5;0;3;0;65,1000030920841;65;2,2;0;
2016-10-11_17:31:42;GeometryFriendsAgents;GF 2016 Circle Public;1;1;3;0;160,200007609092;160;5,38;100;
2016-10-11_17:31:46;GeometryFriendsAgents;GF 2016 Circle Public;2;1;4;0;130,200006184168;130;4,372;100;
2016-10-11_17:32:16;ReinforcementLearningAgents;GF 2016 Circle Public;1;1;3;0;160,000007599592;160;8,027;100;
2016-10-11_17:32:23;ReinforcementLearningAgents;GF 2016 Circle Public;2;1;4;0;130,000006174669;130;6,903;100;
2016-10-11_17:32:26;ReinforcementLearningAgents;GF 2016 Circle Public;3;0;5;0;55,0000026123598;55;2,767;0;
2016-10-11_17:32:29;ReinforcementLearningAgents;GF 2016 Circle Public;4;0;2;0;60,0000028498471;60;3,028;0;
